,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url
55,2304,楊桃,糖醋豆干,https://d3l76hx23vw40a.cloudfront.net/recipe/gy53-048a_1.jpg,,,1,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0159
56,2353,楊桃,糖醋魚,https://d3l76hx23vw40a.cloudfront.net/recipe/bk59-027_1.jpg,,,0,15,8,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-257
57,2375,楊桃,糖醋肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk055-024b_1.jpg,,,4,18,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2749
58,2427,楊桃,宮保雞丁(14),https://d3l76hx23vw40a.cloudfront.net/recipe/bk196-034a_1.jpg,,,0,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1644
59,2512,楊桃,三色炒雞絲,https://d3l76hx23vw40a.cloudfront.net/recipe/pk01-136_1.jpg,,,0,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-0674
60,2520,楊桃,星州炒貴刁,https://d3l76hx23vw40a.cloudfront.net/recipe/hq28-015_1.jpg,,,1,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-613
61,2533,楊桃,辣子雞丁(5),https://d3l76hx23vw40a.cloudfront.net/recipe/bk153-011_1.jpg,,,0,15,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1038
62,2549,楊桃,青椒炒肉絲(4),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn44-017_1.jpg,,,1,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0855
63,2567,楊桃,咖哩雞丁,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-009_1.jpg,,,1,12,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1386
64,2603,楊桃,廈門炒米粉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-068b_1.jpg,,,0,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0576
65,2653,楊桃,糖醋魚塊,https://d3l76hx23vw40a.cloudfront.net/recipe/gy60-050_1.jpg,,,2,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1126
66,2658,楊桃,咖哩炒米粉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk170-044_1.jpg,,,0,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0589
67,2691,楊桃,百花油條,https://d3l76hx23vw40a.cloudfront.net/recipe/bk196-015_1.jpg,,,2,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0775
68,2713,楊桃,回鍋肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk59-032_1.jpg,,,0,18,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-292
69,2771,楊桃,蔬烤雞腿卷,https://d3l76hx23vw40a.cloudfront.net/recipe/gy57-012_1.jpg,,,0,6,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1271
70,2787,楊桃,烤雞皮,https://d3l76hx23vw40a.cloudfront.net/recipe/bk178-035b_1.jpg,,,0,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1382
71,2814,楊桃,甜椒炒蛋,https://d3l76hx23vw40a.cloudfront.net/recipe/whk077-105b_1.jpg,,,1,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0895
72,2826,楊桃,醋溜魚片(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy46-060_1.jpg,,,0,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1089
73,2837,楊桃,糖醋魚(8),https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-046a_1.jpg,,,2,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1019
74,2906,楊桃,腰果蝦仁,https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-024a_1.jpg,,,1,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0379
75,2912,楊桃,醬燒鮮菇,https://d3l76hx23vw40a.cloudfront.net/recipe/whk081-022b_1.jpg,,,2,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0516
