,index,Website,按讚數,烹飪時間,食譜名稱,url,圖片連結,食材種類,營養資訊,烹飪步驟,有無影片
46,1760,楊桃,2,,沙茶豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-780,https://d3l76hx23vw40a.cloudfront.net/recipe/bk104-019_1.jpg,11.0,,2.0,
47,1764,楊桃,0,,芋頭肉絲炒米粉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1633,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-064b_1.jpg,14.0,,3.0,
48,1779,楊桃,0,,家常豆腐,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0171,https://d3l76hx23vw40a.cloudfront.net/recipe/bk128-023c_1.jpg,16.0,,4.0,
49,1789,楊桃,36,,海產粥,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-401,https://d3l76hx23vw40a.cloudfront.net/recipe/bk51-044_1.jpg,15.0,,3.0,
50,1853,楊桃,18,,鴻喜菇炒蘆筍,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0393,https://d3l76hx23vw40a.cloudfront.net/recipe/bk210-036_1.jpg,13.0,,4.0,
51,1878,楊桃,0,,肉絲蛋炒飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1624,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-030a_1.jpg,9.0,,3.0,
52,1882,楊桃,0,,爆炒鹹豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1044,https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-034a_1.jpg,7.0,,4.0,
53,1971,楊桃,1,,辣味梅花肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2668,https://d3l76hx23vw40a.cloudfront.net/recipe/aa003-033_1.jpg,4.0,,3.0,
54,2009,楊桃,7,,麻油松阪豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-3166,https://d3l76hx23vw40a.cloudfront.net/recipe/whk081-102_1.jpg,11.0,,4.0,
55,2081,楊桃,6,,青江菜包,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0684,https://d3l76hx23vw40a.cloudfront.net/recipe/bk190-025_1.jpg,8.0,,5.0,
56,2087,楊桃,0,,茭白筍炒肉絲(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0890,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-023b_1.jpg,8.0,,3.0,
57,2166,楊桃,0,,榨菜肉絲湯麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2633,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn095-028_1.jpg,10.0,,4.0,
58,2264,楊桃,0,,魚翅羹,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1303,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn58-030b_1.jpg,17.0,,5.0,
59,2279,楊桃,0,,鼎邊銼,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-419,https://d3l76hx23vw40a.cloudfront.net/recipe/bk51-034_1.jpg,18.0,,2.0,
60,2323,楊桃,0,,酸白菜炒肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1820,https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-034b_1.jpg,10.0,,4.0,
61,2370,楊桃,0,,西魯肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1872,https://d3l76hx23vw40a.cloudfront.net/recipe/gy63-049_1.jpg,13.0,,4.0,
62,2491,楊桃,1,,豬肉味噌炒飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1960,https://d3l76hx23vw40a.cloudfront.net/recipe/bk183-019b_1.jpg,10.0,,5.0,
63,2538,楊桃,0,,砂鍋魚頭(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-303,https://d3l76hx23vw40a.cloudfront.net/recipe/bk71-012_1.jpg,18.0,,3.0,
64,2671,楊桃,0,,客家燜筍,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0925,https://d3l76hx23vw40a.cloudfront.net/recipe/bk164-041a_1.jpg,7.0,,3.0,
65,2693,楊桃,0,,南部粽(2),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0992,https://d3l76hx23vw40a.cloudfront.net/recipe/whk048-021_1.jpg,16.0,,11.0,
66,2719,楊桃,1,,烤鹹豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2240,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn58-012c_1.jpg,5.0,,2.0,
67,2732,楊桃,1,,排骨湯麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-438,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-023d_1.jpg,14.0,,4.0,
68,2761,楊桃,0,,蘿蔔糕湯(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-591,https://d3l76hx23vw40a.cloudfront.net/recipe/hq21-020_1.jpg,12.0,,3.0,
69,2796,楊桃,3,,啤酒滷肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1098,https://d3l76hx23vw40a.cloudfront.net/recipe/ck65-033_1.jpg,10.0,,3.0,
70,2812,楊桃,0,,番茄燒豆腐,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-070,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-119_1.jpg,9.0,,3.0,
71,2825,楊桃,0,,牛肉丸,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-172,https://d3l76hx23vw40a.cloudfront.net/recipe/bk66-032a_1.jpg,11.0,,4.0,
72,2827,楊桃,1,,京醬肉絲(5),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1993,https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-012_1.jpg,15.0,,5.0,
73,2860,楊桃,0,,青菜豆腐肉片湯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-134,https://d3l76hx23vw40a.cloudfront.net/recipe/ck42-037a_1.jpg,11.0,,4.0,
74,2884,楊桃,0,,苦瓜肉絲炒蛋,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0555,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-037_1.jpg,10.0,,3.0,
75,2912,楊桃,2,,醬燒鮮菇,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0516,https://d3l76hx23vw40a.cloudfront.net/recipe/whk081-022b_1.jpg,11.0,,4.0,
76,2974,楊桃,1,,香菇玉米粥,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-422,https://d3l76hx23vw40a.cloudfront.net/recipe/bk56-019a_1.jpg,10.0,,3.0,
77,2980,楊桃,1,,酸辣湯(5),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2303,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn64-023b_1.jpg,22.0,,3.0,
78,3015,楊桃,0,,高麗菜粥(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0688,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-015b_1.jpg,13.0,,3.0,
79,3084,楊桃,0,,皮蛋瘦肉粥(4),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2104,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-019b_1.jpg,8.0,,3.0,
80,3177,楊桃,1,,黑胡椒肉片,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-312,https://d3l76hx23vw40a.cloudfront.net/recipe/whk29-039a_1.jpg,10.0,,2.0,
81,3204,楊桃,0,,豆醬蒸魚,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-0776,https://d3l76hx23vw40a.cloudfront.net/recipe/ck72-017_1.jpg,5.0,,6.0,
82,3235,楊桃,0,,鳳梨炒木耳(4),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F07-0641,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn64-037_1.jpg,8.0,,3.0,
