,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
45,2549,楊桃,青椒炒肉絲(4),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn44-017_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0855,1
46,2594,楊桃,沙茶炒牛肉塊,https://d3l76hx23vw40a.cloudfront.net/recipe/gy48-047b_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0766,1
47,2601,楊桃,牛肉炒麵(1),https://d3l76hx23vw40a.cloudfront.net/recipe/m556_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0907,0
48,2613,楊桃,洋蔥牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn35-034_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0840,0
49,2648,楊桃,乾炒牛肉意粉,https://d3l76hx23vw40a.cloudfront.net/recipe/ck36-029_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-359,0
50,2721,楊桃,牛肉片湯,https://d3l76hx23vw40a.cloudfront.net/recipe/ck41-022_1.jpg,,,,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-361,0
51,2825,楊桃,牛肉丸,https://d3l76hx23vw40a.cloudfront.net/recipe/bk66-032a_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-172,0
52,2843,楊桃,川味水煮牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk184-020_1.jpg,,,,17,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0825,1
53,2903,楊桃,山藥炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk128-013a_1.jpg,,,,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0553,0
54,2935,楊桃,素牛肉湯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk29-034_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-112,2
55,2940,楊桃,洋蔥炒肉絲(1),https://d3l76hx23vw40a.cloudfront.net/recipe/whk049-019_1.jpg,,,,8,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0989,1
56,2958,楊桃,菌菇炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn14-010b_1.jpg,,,,17,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0581,2
57,3055,楊桃,薑蔥炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk089-019a_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1147,1
58,3105,楊桃,燴牛肉獅子頭,https://d3l76hx23vw40a.cloudfront.net/recipe/ck39-032a_1.jpg,,,,24,8,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-360,0
59,3236,楊桃,麻辣火鍋(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy12-014_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0671,0
60,3397,楊桃,泡菜炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-060b_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0786,0
61,3482,楊桃,酸白菜炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/m1035_1.jpg,,,,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0920,0
62,3494,楊桃,XO醬炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/ck55-026_1.jpg,,,,18,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0489,0
63,3562,楊桃,乾鍋牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/whk088-014a_1.jpg,,,,20,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1123,0
64,3624,楊桃,沙茶牛肉河粉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk64-042a_1.jpg,,,,19,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-511,0
65,3702,楊桃,麻辣麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk27-128_1.jpg,,,,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-317,0
66,3723,楊桃,義式牛肉燉飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn076-026b_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0961,0
67,3761,楊桃,沙茶牛肉(2),https://d3l76hx23vw40a.cloudfront.net/recipe/bk92-035b_1.jpg,,,,11,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-330,2
68,3806,楊桃,沙茶牛肉(6),https://d3l76hx23vw40a.cloudfront.net/recipe/bk199-021a_1.jpg,,,,14,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0932,0
69,3807,楊桃,窩蛋牛肉粥,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn32-014_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0842,0
70,3888,楊桃,黑椒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk195-015a_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0895,0
71,3899,楊桃,咖哩牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy60-035_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0794,2
72,3927,楊桃,奶油胡椒沙朗牛,https://d3l76hx23vw40a.cloudfront.net/recipe/0722_1.jpg,,,,6,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0950,0
73,4089,楊桃,川味水煮牛肉片(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk207-025_1.jpg,,,,17,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0944,0
74,4123,楊桃,黑胡椒牛肉披薩,https://d3l76hx23vw40a.cloudfront.net/recipe/yb11-048_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-364,1
75,4139,楊桃,咖哩高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/gy59-013a_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0591,0
76,4147,楊桃,青椒炒牛肉(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy54-026_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0777,0
77,4242,楊桃,滑蛋牛肉(2),https://d3l76hx23vw40a.cloudfront.net/recipe/gy55-060a_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0785,0
78,4331,楊桃,紅燒番茄牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk092-014a_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1102,0
79,4394,楊桃,青椒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/yq35-011a_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0408,0
