,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
70,2045,楊桃,枸杞炒高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk152-020a_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0490,92
71,2113,楊桃,日式生菜手卷,https://d3l76hx23vw40a.cloudfront.net/recipe/whk41-062a_1.jpg,,,,11,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-189,0
72,2159,楊桃,台式辣泡菜,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn64-046_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0729,2
73,2184,楊桃,魚卵沙拉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk34-089a_1.jpg,,,,3,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-312,0
74,2208,楊桃,炸臭豆腐(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy01-073_1.jpg,,,,15,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0213,6
75,2223,楊桃,蔬菜煎餅(6),https://d3l76hx23vw40a.cloudfront.net/recipe/aa001-014b_1.jpg,,,,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0667,0
76,2232,楊桃,炸春捲,https://d3l76hx23vw40a.cloudfront.net/recipe/fk03-044b_1.jpg,,,,19,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-490,0
77,2259,楊桃,綜合野菜煎餅,https://d3l76hx23vw40a.cloudfront.net/recipe/bk176-017_1.jpg,,,,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1056,0
78,2261,楊桃,炸蔬菜丸子,https://d3l76hx23vw40a.cloudfront.net/recipe/bk169-033_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1212,1
79,2294,楊桃,豆腐味噌湯(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk071-009a_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0480,1
80,2336,楊桃,蔬菜牛肉鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn082-018_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0977,0
81,2361,楊桃,台式炒米粉,https://d3l76hx23vw40a.cloudfront.net/recipe/hq24-008_1.jpg,,,,13,8,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-597,3
82,2399,楊桃,枸杞瘦肉湯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk97-037_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-691,1
83,2409,楊桃,蚵嗲(5),https://d3l76hx23vw40a.cloudfront.net/recipe/bk115-014_1.jpg,,,,15,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B02-0170,0
84,2435,楊桃,什錦炒麵(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk050-021b_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1301,1
85,2461,楊桃,什錦牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn31-019_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0831,2
86,2476,楊桃,高麗菜燉肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn62-033_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2315,1
87,2579,楊桃,杏鮑菇燴高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk152-020b_1.jpg,,,,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0491,4
88,2586,楊桃,用電鍋作蔬菜鹹粥,https://d3l76hx23vw40a.cloudfront.net/recipe/m606_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0969,0
89,2589,楊桃,蔬菜大蛋餅,https://d3l76hx23vw40a.cloudfront.net/recipe/gy44-030_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0567,4
90,2622,楊桃,梅子雞,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,12,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-006,6
91,2677,楊桃,清燉排骨菜乾湯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk36-073a_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-416,0
92,2758,楊桃,夜市炒油麵,https://d3l76hx23vw40a.cloudfront.net/recipe/m135_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1231,0
93,2764,楊桃,豆干炒高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/pk01-109_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0266,0
94,2917,楊桃,肉末高麗菜 ,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn52-031a_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0709,0
95,2924,楊桃,高麗菜蔥煎餅,https://d3l76hx23vw40a.cloudfront.net/recipe/ck73-033b_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0380,1
96,2951,楊桃,龍鳳腿,https://d3l76hx23vw40a.cloudfront.net/recipe/bk130-026b_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-0812,0
97,2955,楊桃,紅麴高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn59-028b_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0721,2
98,3015,楊桃,高麗菜粥(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-015b_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0688,0
99,3106,楊桃,蒜蓉高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk202-015a_1.jpg,,,,4,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0749,1
100,3154,楊桃,港式沙嗲火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-032b_1.jpg,,,,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1569,3
101,3171,楊桃,海鮮豆腐鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk103-023_1.jpg,,,,12,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-585,0
102,3250,楊桃,鮑魚切片,https://d3l76hx23vw40a.cloudfront.net/recipe/whk070-095b_1.jpg,,,,3,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B02-0436,0
103,3258,楊桃,明蝦沙拉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk22-141_1.jpg,,,,5,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-079,0
104,3260,楊桃,蔬菜粥,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn36-013b_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0662,2
105,3305,楊桃,台南鱔魚意麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk64-019_1.jpg,,,,18,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-372,1
106,3448,楊桃,薄片炸豬排,https://d3l76hx23vw40a.cloudfront.net/recipe/hq25-020a_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-532,2
107,3462,楊桃,上海水煎包,https://d3l76hx23vw40a.cloudfront.net/recipe/bk45-020b_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-214,0
108,3518,楊桃,肉絲炒冬粉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn29-058a_1.jpg,,,,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1534,3
109,3620,楊桃,牛奶海鮮火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-030_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B02-0285,0
